FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
0,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,4003,107,3896,2651,272,2379,580,154,26,8,392,
1,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,5991,370,5621,1819,247,1572,1366,484,406,71,405,
2,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,130,0,130,60,0,60,51,15,29,4,3,
3,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,6,13,0,13,17,0,16,0,1,
4,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,422,2,420,45,3,42,55,13,22,7,13,
5,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,161,0,161,67,2,65,37,8,15,4,10,
6,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,114,1,113,30,3,27,43,9,27,1,6,
7,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,138,2,136,35,0,35,40,9,20,4,7,
8,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,246,3,243,67,2,65,41,12,19,5,5,
9,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,156,0,156,37,3,34,41,7,18,9,7,
10,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,106,0,106,14,1,13,52,11,26,4,11,
11,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,166,0,166,67,5,62,28,6,13,3,6,
12,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,63,3,60,34,5,29,28,4,13,3,8,
13,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,84,0,84,23,5,18,27,3,13,3,8,
14,3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,176,0,176,56,6,50,54,15,24,3,12,
15,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,75,1,74,12,0,12,18,4,7,2,5,
16,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,35,0,35,10,1,9,24,5,16,2,1,
17,3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,523,7,516,145,9,136,150,44,24,11,71,
18,3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,74,2,72,43,3,40,37,8,12,3,14,
19,3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,84,2,82,31,1,30,21,5,8,3,5,
20,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,258,0,258,40,11,29,43,15,12,4,12,
21,3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,82,1,81,19,1,18,26,6,15,0,5,
22,3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,39,0,39,14,1,13,14,2,8,3,1,
23,3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,113,0,113,32,4,28,28,6,9,6,7,
24,3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,86,3,83,33,3,30,27,9,9,6,3,
25,3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,43,1,42,16,1,15,16,1,7,2,6,
26,3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,87,2,85,24,2,22,15,4,6,0,5,
27,3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,83,0,83,15,4,11,20,7,8,1,4,
28,3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,61,0,61,19,2,17,23,3,13,3,4,
29,3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,16,0,16,5,0,5,7,0,6,1,0,
30,3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,50,2,48,9,0,9,26,8,6,2,10,
31,3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,95,3,92,30,4,26,38,9,13,2,14,
32,3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,87,0,87,21,0,21,29,4,14,2,9,
33,3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,74,2,72,12,1,11,28,3,12,4,9,
34,3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,49,2,47,20,0,20,18,4,7,3,4,
35,3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,50,1,49,14,0,14,14,3,8,2,1,
36,3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,317,8,309,103,6,97,56,20,10,6,20,
37,3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,238,4,234,75,4,71,35,6,13,5,11,
38,3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,26,3,23,6,0,6,21,6,10,2,3,
39,3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,84,3,81,40,5,35,41,11,18,5,7,
40,3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,128,2,126,21,2,19,21,8,6,4,3,
41,3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,60,1,59,19,2,17,19,3,8,2,6,
42,3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,52,2,50,26,5,21,18,5,8,2,3,
43,3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,129,3,126,19,3,16,17,6,6,0,5,
44,3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,62,0,62,21,2,19,29,2,12,5,10,
45,3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,56,5,51,21,3,18,25,5,9,1,10,
46,3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,136,2,134,31,1,30,23,6,5,3,9,
47,3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,78,0,78,18,3,15,8,2,4,2,0,
48,3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,184,5,179,69,14,55,33,4,7,4,18,
49,3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,107,1,106,25,2,23,20,7,5,2,6,
50,3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,77,0,77,16,2,14,17,6,7,1,3,
51,3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,136,0,136,21,0,21,41,9,13,8,11,
52,3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,207,0,207,21,0,21,27,13,9,1,4,
53,3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,474,17,457,66,11,55,135,29,10,7,89,
54,3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,38,0,38,23,0,23,10,2,2,3,3,
55,3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,81,0,81,13,5,8,24,9,6,1,8,
56,3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,179,3,176,28,3,25,38,9,11,3,15,
57,3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,62,1,61,27,5,22,20,5,6,2,7,
58,3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,100,0,100,34,9,25,35,7,6,3,19,
59,3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,53,1,52,24,5,19,17,5,3,3,6,
60,3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,115,2,113,32,0,32,24,3,9,5,7,
61,3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,267,0,267,26,0,26,27,11,7,2,7,
62,3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,110,1,109,33,1,32,16,3,8,0,5,
63,3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,105,0,105,22,5,17,36,10,9,2,15,
64,3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,160,1,159,36,3,33,35,11,7,4,13,
65,3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,82,0,82,43,1,42,12,4,3,4,1,
66,3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,241,2,239,44,2,42,64,4,6,4,50,
67,3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,36,2,34,18,1,17,21,5,9,1,6,
68,3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,48,1,47,27,1,26,8,3,3,0,2,
69,3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,75,0,75,16,0,16,25,10,10,1,4,
70,3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,160,2,158,42,1,41,19,3,9,1,6,
71,3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,104,0,104,49,6,43,26,6,12,1,7,
72,3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,118,4,114,60,4,56,35,10,5,5,15,
73,3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,83,1,82,22,4,18,11,3,4,0,4,
74,3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,60,1,59,25,6,19,16,5,6,1,4,
75,3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,28,3,25,12,1,11,8,3,2,1,2,
76,3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,49,0,49,14,1,13,22,4,1,4,13,
77,3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,179,1,178,6,0,6,33,9,5,1,18,
78,3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,162,1,161,20,3,17,25,5,3,5,12,
79,3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,70,0,70,22,1,21,10,2,5,3,0,
80,3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,22,0,22,11,0,11,7,1,2,2,2,
81,3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,36,0,36,18,1,17,5,0,3,1,1,
82,3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,56,1,55,11,0,11,10,3,3,1,3,
83,3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,52,0,52,24,4,20,6,0,2,3,1,
84,3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,145,1,144,20,2,18,15,5,3,4,3,
85,3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,135,2,133,25,3,22,13,1,8,0,4,
86,3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,70,0,70,19,2,17,22,6,7,3,6,
87,3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,78,3,75,35,11,24,26,9,8,1,8,
88,3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,53,1,52,12,1,11,22,6,4,1,11,
89,3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,45,1,44,23,1,22,11,3,5,1,2,
90,3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,53,0,53,12,0,12,12,4,3,2,3,
91,3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,45,1,44,8,3,5,11,2,2,2,5,
92,3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,161,1,160,21,5,16,25,5,8,6,6,
93,3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,82,1,81,49,1,48,18,9,7,2,0,
94,3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,113,5,108,33,3,30,9,3,4,1,1,
95,3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,205,2,203,56,0,56,11,7,2,1,1,
96,3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,70,0,70,18,3,15,21,6,8,3,4,
97,3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,39,0,39,3,1,2,29,8,6,5,10,
98,3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,15,0,15,5,0,5,3,0,1,2,0,
99,3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,35,2,33,14,3,11,22,2,7,0,13,
100,3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,54,0,54,20,3,17,22,5,5,0,12,
101,3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,46,2,44,13,0,13,12,5,4,0,3,
102,3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,50,1,49,20,4,16,20,9,4,0,7,
103,3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,68,3,65,17,2,15,25,8,6,0,11,
104,3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,144,0,144,16,0,16,14,5,6,2,1,
105,3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,96,1,95,22,0,22,10,3,3,2,2,
106,3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,36,1,35,13,2,11,14,4,4,2,4,
107,3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,36,0,36,30,5,25,17,9,5,1,2,
108,3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,6,1,5,2,0,2,5,3,1,1,0,
109,3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,27,0,27,6,0,6,17,5,7,3,2,
110,3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,85,0,85,22,2,20,29,9,9,2,9,
111,3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,113,1,112,12,0,12,7,1,4,0,2,
112,3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,66,2,64,18,2,16,15,4,7,0,4,
113,3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,81,1,80,25,0,25,13,3,4,2,4,
114,3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,53,0,53,31,4,27,11,2,5,2,2,
115,3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,48,0,48,12,1,11,19,8,5,2,4,
116,3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,51,0,51,23,2,21,23,9,6,0,8,
117,3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,55,0,55,14,3,11,17,5,4,2,6,
118,3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,12,0,12,7,1,6,9,1,7,1,0,
119,3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,14,0,14,6,1,5,12,7,2,2,1,
120,3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,45,0,45,7,0,7,5,1,1,1,2,
121,3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,53,0,53,34,0,34,18,7,6,5,0,
122,3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,100,6,94,15,2,13,17,4,3,1,9,
123,3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,43,1,42,8,0,8,14,5,3,0,6,
124,3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,103,7,96,27,3,24,16,11,2,2,1,
125,3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,45,0,45,11,0,11,12,1,5,0,6,
126,3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,52,0,52,20,3,17,19,8,2,0,9,
127,3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,86,5,81,34,4,30,16,3,8,1,4,
128,3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,87,4,83,17,1,16,18,3,5,0,10,
129,3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,79,2,77,22,4,18,21,3,11,2,5,
130,3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,31,0,31,13,1,12,15,7,4,0,4,
